SuccessRate Apha Gamma
32 1.0000 1.0000
25 1.0000 0.8154
18 1.0000 0.6648
49 1.0000 0.5421
70 1.0000 0.4420
90 1.0000 0.3604
90 1.0000 0.2939
95 1.0000 0.2396
91 1.0000 0.1954
60 1.0000 0.1593
91 1.0000 0.1299
93 1.0000 0.1059
94 1.0000 0.0864
95 1.0000 0.0704
93 1.0000 0.0574
91 1.0000 0.0468
91 1.0000 0.0382
97 1.0000 0.0311
89 1.0000 0.0254
92 1.0000 0.0207
96 1.0000 0.0169
49 0.8154 1.0000
33 0.8154 0.8154
76 0.8154 0.6648
71 0.8154 0.5421
90 0.8154 0.4420
85 0.8154 0.3604
90 0.8154 0.2939
88 0.8154 0.2396
94 0.8154 0.1954
93 0.8154 0.1593
92 0.8154 0.1299
94 0.8154 0.1059
93 0.8154 0.0864
92 0.8154 0.0704
93 0.8154 0.0574
93 0.8154 0.0468
94 0.8154 0.0382
96 0.8154 0.0311
91 0.8154 0.0254
96 0.8154 0.0207
94 0.8154 0.0169
70 0.6648 1.0000
46 0.6648 0.8154
32 0.6648 0.6648
66 0.6648 0.5421
84 0.6648 0.4420
95 0.6648 0.3604
92 0.6648 0.2939
92 0.6648 0.2396
92 0.6648 0.1954
97 0.6648 0.1593
93 0.6648 0.1299
92 0.6648 0.1059
96 0.6648 0.0864
92 0.6648 0.0704
94 0.6648 0.0574
94 0.6648 0.0468
95 0.6648 0.0382
84 0.6648 0.0311
90 0.6648 0.0254
93 0.6648 0.0207
92 0.6648 0.0169
28 0.5421 1.0000
39 0.5421 0.8154
92 0.5421 0.6648
90 0.5421 0.5421
81 0.5421 0.4420
89 0.5421 0.3604
96 0.5421 0.2939
87 0.5421 0.2396
92 0.5421 0.1954
93 0.5421 0.1593
80 0.5421 0.1299
92 0.5421 0.1059
91 0.5421 0.0864
96 0.5421 0.0704
92 0.5421 0.0574
95 0.5421 0.0468
95 0.5421 0.0382
90 0.5421 0.0311
96 0.5421 0.0254
95 0.5421 0.0207
93 0.5421 0.0169
66 0.4420 1.0000
86 0.4420 0.8154
61 0.4420 0.6648
83 0.4420 0.5421
76 0.4420 0.4420
93 0.4420 0.3604
94 0.4420 0.2939
96 0.4420 0.2396
93 0.4420 0.1954
93 0.4420 0.1593
92 0.4420 0.1299
94 0.4420 0.1059
91 0.4420 0.0864
92 0.4420 0.0704
91 0.4420 0.0574
94 0.4420 0.0468
94 0.4420 0.0382
92 0.4420 0.0311
89 0.4420 0.0254
91 0.4420 0.0207
93 0.4420 0.0169
94 0.3604 1.0000
91 0.3604 0.8154
70 0.3604 0.6648
89 0.3604 0.5421
91 0.3604 0.4420
65 0.3604 0.3604
93 0.3604 0.2939
94 0.3604 0.2396
65 0.3604 0.1954
92 0.3604 0.1593
96 0.3604 0.1299
94 0.3604 0.1059
93 0.3604 0.0864
94 0.3604 0.0704
95 0.3604 0.0574
92 0.3604 0.0468
88 0.3604 0.0382
89 0.3604 0.0311
97 0.3604 0.0254
95 0.3604 0.0207
91 0.3604 0.0169
98 0.2939 1.0000
93 0.2939 0.8154
69 0.2939 0.6648
92 0.2939 0.5421
93 0.2939 0.4420
93 0.2939 0.3604
93 0.2939 0.2939
89 0.2939 0.2396
94 0.2939 0.1954
95 0.2939 0.1593
95 0.2939 0.1299
97 0.2939 0.1059
95 0.2939 0.0864
95 0.2939 0.0704
