Alpha,Gamma,SuccessRate,Last20RedLightViolations,Last20PlannerNoncompliance
0.01,0.01,92,0.40,0.30
0.01,0.02,91,0.70,0.60
0.01,0.03,92,0.90,0.50
0.01,0.04,93,0.40,0.50
0.01,0.05,92,0.30,0.50
0.01,0.06,89,0.60,0.50
0.01,0.07,90,0.90,0.60
0.01,0.08,91,0.20,0.60
0.01,0.09,91,0.60,0.00
0.01,0.10,91,0.80,0.10
0.01,0.11,91,0.90,0.70
0.01,0.12,92,0.60,0.40
0.01,0.13,91,0.40,0.60
0.01,0.14,92,0.90,0.90
0.01,0.15,91,0.40,0.80
0.01,0.16,91,0.70,0.40
0.01,0.17,92,0.70,0.60
0.01,0.18,91,0.60,0.80
0.01,0.19,91,0.50,0.50
0.01,0.20,90,0.30,0.70
0.02,0.01,92,0.50,1.00
0.02,0.02,91,0.60,0.20
0.02,0.03,91,0.30,0.40
0.02,0.04,92,0.40,0.60
0.02,0.05,94,0.30,0.60
0.02,0.06,92,1.40,0.60
0.02,0.07,93,0.60,0.60
0.02,0.08,90,0.20,0.00
0.02,0.09,91,0.70,0.20
0.02,0.10,92,0.60,0.20
0.02,0.11,92,0.40,0.60
0.02,0.12,92,0.40,0.50
0.02,0.13,91,0.90,0.80
0.02,0.14,93,0.30,0.60
0.02,0.15,90,0.80,0.60
0.02,0.16,92,0.80,0.40
0.02,0.17,92,0.40,0.40
0.02,0.18,92,0.90,0.50
0.02,0.19,93,0.80,0.30
0.02,0.20,92,0.70,0.40
0.03,0.01,92,0.00,0.80
0.03,0.02,92,0.80,0.60
0.03,0.03,91,0.60,0.70
0.03,0.04,90,0.50,0.80
0.03,0.05,92,0.80,0.30
0.03,0.06,92,0.60,1.10
0.03,0.07,90,0.60,0.50
0.03,0.08,92,0.50,0.60
0.03,0.09,92,0.60,0.50
0.03,0.10,91,0.80,0.30
0.03,0.11,91,0.80,0.70
0.03,0.12,91,0.50,0.60
0.03,0.13,91,0.70,0.60
0.03,0.14,91,1.60,0.40
0.03,0.15,92,0.50,0.60
0.03,0.16,93,0.90,0.70
0.03,0.17,91,0.90,1.00
0.03,0.18,92,1.10,0.50
0.03,0.19,93,0.50,0.90
0.03,0.20,91,1.00,1.00
0.04,0.01,91,0.50,0.30
0.04,0.02,91,0.70,0.30
0.04,0.03,91,0.20,0.10
0.04,0.04,93,0.50,0.30
0.04,0.05,94,0.30,0.60
0.04,0.06,90,0.40,0.30
0.04,0.07,91,1.10,0.40
0.04,0.08,92,0.40,0.70
0.04,0.09,91,0.90,0.50
0.04,0.10,92,0.50,0.70
0.04,0.11,90,0.80,0.50
0.04,0.12,90,0.80,0.40
0.04,0.13,93,0.80,0.50
0.04,0.14,92,0.40,0.70
0.04,0.15,93,0.30,0.80
0.04,0.16,92,1.20,1.40
0.04,0.17,91,0.90,1.10
0.04,0.18,93,1.20,0.80
0.04,0.19,92,0.30,1.30
0.04,0.20,93,1.10,1.50
0.05,0.01,93,0.20,0.40
0.05,0.02,92,0.50,0.80
0.05,0.03,89,0.30,0.60
0.05,0.04,93,0.40,0.40
0.05,0.05,91,0.40,0.60
0.05,0.06,91,0.70,0.10
0.05,0.07,91,0.40,0.80
0.05,0.08,91,0.70,0.60
0.05,0.09,92,0.60,0.30
0.05,0.10,91,1.00,0.40
0.05,0.11,91,0.60,0.70
0.05,0.12,92,0.40,0.50
0.05,0.13,92,0.90,0.80
0.05,0.14,92,1.00,0.60
0.05,0.15,92,0.90,1.50
0.05,0.16,93,0.90,1.20
0.05,0.17,93,0.80,2.00
0.05,0.18,91,0.90,0.50
0.05,0.19,92,0.60,1.30
0.05,0.20,90,0.80,0.70
0.06,0.01,91,0.80,0.30
0.06,0.02,90,1.00,0.40
0.06,0.03,92,0.60,0.10
0.06,0.04,92,0.30,0.20
0.06,0.05,91,0.90,1.00
0.06,0.06,89,0.90,1.00
0.06,0.07,92,0.50,0.70
0.06,0.08,92,0.40,1.00
0.06,0.09,92,0.40,0.60
0.06,0.10,92,1.20,0.40
0.06,0.11,92,1.30,0.50
0.06,0.12,93,0.50,0.70
0.06,0.13,92,0.80,1.00
0.06,0.14,92,0.50,0.90
0.06,0.15,93,1.30,1.10
0.06,0.16,92,0.80,1.50
0.06,0.17,91,0.90,1.50
0.06,0.18,94,0.70,1.00
0.06,0.19,93,0.50,1.30
0.06,0.20,94,1.00,1.70
0.07,0.01,92,0.40,0.50
0.07,0.02,92,0.70,0.50
0.07,0.03,92,0.50,0.50
0.07,0.04,92,0.50,0.40
0.07,0.05,91,0.10,0.90
0.07,0.06,92,0.80,0.90
0.07,0.07,93,1.20,0.40
0.07,0.08,91,0.20,1.10
0.07,0.09,92,0.70,0.50
0.07,0.10,93,0.60,1.00
0.07,0.11,89,1.00,1.10
0.07,0.12,92,0.20,0.60
0.07,0.13,92,0.70,0.90
0.07,0.14,92,0.70,0.80
0.07,0.15,93,1.00,1.10
0.07,0.16,91,0.30,0.90
0.07,0.17,93,0.90,1.00
0.07,0.18,91,1.40,1.50
0.07,0.19,92,0.90,1.40
0.07,0.20,93,0.50,1.80
0.08,0.01,92,0.40,0.80
0.08,0.02,91,0.20,0.30
0.08,0.03,91,0.40,0.20
0.08,0.04,91,0.50,0.50
0.08,0.05,92,0.50,0.50
0.08,0.06,91,0.70,0.50
0.08,0.07,91,0.60,0.60
0.08,0.08,92,0.60,1.50
0.08,0.09,93,0.60,1.30
0.08,0.10,92,0.40,0.50
0.08,0.11,91,0.50,1.90
0.08,0.12,92,0.50,1.20
0.08,0.13,92,1.40,1.20
0.08,0.14,93,0.60,1.90
0.08,0.15,92,0.50,0.90
0.08,0.16,92,0.60,1.80
0.08,0.17,93,1.50,1.40
0.08,0.18,94,0.20,1.60
0.08,0.19,92,0.50,1.10
0.08,0.20,93,1.90,1.60
0.09,0.01,91,0.40,0.60
0.09,0.02,91,0.90,0.90
0.09,0.03,92,0.10,0.60
0.09,0.04,89,0.50,0.60
0.09,0.05,92,0.80,0.70
0.09,0.06,92,0.60,0.90
0.09,0.07,94,0.50,0.90
0.09,0.08,92,0.50,1.00
0.09,0.09,92,0.90,1.30
0.09,0.10,92,0.90,1.10
0.09,0.11,93,1.10,0.80
0.09,0.12,92,0.90,1.70
0.09,0.13,94,1.00,1.30
0.09,0.14,92,0.90,1.60
0.09,0.15,92,0.70,1.10
0.09,0.16,94,0.90,1.00
0.09,0.17,90,0.90,1.00
0.09,0.18,93,1.10,1.50
0.09,0.19,92,1.30,3.50
0.09,0.20,94,0.80,2.40
0.10,0.01,91,0.80,0.70
0.10,0.02,92,0.40,0.70
0.10,0.03,92,0.80,0.90
0.10,0.04,93,0.70,1.30
0.10,0.05,92,0.40,0.70
0.10,0.06,91,1.20,1.10
0.10,0.07,93,0.30,0.80
0.10,0.08,92,1.30,1.40
0.10,0.09,91,1.10,0.90
0.10,0.10,90,0.90,1.20
0.10,0.11,93,0.80,1.70
0.10,0.12,92,0.90,0.90
0.10,0.13,93,1.00,1.70
0.10,0.14,91,0.50,0.90
0.10,0.15,93,0.60,1.70
0.10,0.16,93,1.00,1.00
0.10,0.17,94,0.30,2.30
0.10,0.18,93,1.60,1.60
0.10,0.19,93,1.90,1.30
0.10,0.20,94,0.90,1.10
0.11,0.01,91,0.50,0.80
0.11,0.02,93,0.60,0.30
0.11,0.03,92,0.30,0.50
0.11,0.04,93,0.40,0.30
0.11,0.05,92,1.20,1.30
0.11,0.06,91,0.90,1.30
